ACCOUNT TRANSACTION HISTORY

Name:, Turbo, CASH
Account:, 6333333514, [Encore Portfolio]
Balance:, 671.68, 671.68

Date, Amount, Balance, Description
2026/03/30, -150.00, 671.68, ELECTRICITY 0776789454
2026/03/19, -2.00, 821.68, #EFT CHARGE-FNB TO OTHER
2026/03/19, -235.00, 823.68, INTERNETNET
2026/03/12, -55.00, 1058.68, #MONTHLY ACCOUNT FEE
2026/03/05, -2000.00, 1113.68, Debtor
2026/03/05, -36.79, 3113.68, #R026W4CDP0 PAYPAL FEE
2026/03/05, 2452.74, 3150.47, R026W4CDP0
2026/03/02, -84.00, 697.73, HOST  A18772442 3M7777VC
2026/02/25, -2.00, 781.73, #EFT CHARGE-FNB TO OTHER
2026/02/25, -171.35, 783.73, INTERNET
